title,author,date_time,month,day,column,url
ChatGPT and the environment: Where do we draw the line?,Samantha George,2025-09-29T10:00:00Z,Sep,29,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/chatgpt-and-the-environment-where-do-we-draw-the-line-20250929.html
Kitchen talk: Defying a study abroad stereotype,Anna Garziera,2025-09-28T10:00:00Z,Sep,28,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/kitchen-talk-defying-a-study-abroad-stereotype-20250928.html
Let's talk about political violence,Meena Puram,2025-09-27T10:00:00Z,Sep,27,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/lets-talk-about-political-violence-20250927.html
What if she wasn't okay?,Nia Mitchell,2025-09-27T09:00:00Z,Sep,27,Opinion,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/what-if-she-wasnt-okay-20250927.html
A tale of two vigils,Kris Sun,2025-09-26T10:00:00Z,Sep,26,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/a-tale-of-two-vigils-20250926.html
Being in the world,Robert Wallace,2025-09-25T10:00:00Z,Sep,25,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/being-in-the-world-20250925.html
You got rejected from ‘every’ club. Now what?,Katelyn Cai,2025-09-25T10:00:00Z,Sep,25,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/092425-cai-20250925.html
Is Tallman Trask what Duke stands for?,Adam Levin,2025-09-24T10:00:00Z,Sep,24,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/is-tallman-trask-what-duke-stands-for-20250924.html
The unfed mind devours itself: Duke has an AI problem,Wendy House,2025-09-24T10:00:00Z,Sep,24,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/the-unfed-mind-devours-itself-duke-has-an-ai-problem-20250924.html
Gonna lay down my sword and shield,Luke A. Powery,2025-09-23T19:15:00Z,Sep,23,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/gonna-lay-down-my-sword-and-shield-20250923.html
Duke students lack empathy,Sherman Criner,2025-09-19T10:00:00Z,Sep,19,Opinion,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/duke-students-lack-empathy-20250919.html
The arts are vastly underrepresented at Duke. Can Deborah Rutter change that?,Leo Goldberg,2025-09-18T10:30:00Z,Sep,18,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/the-arts-are-vastly-underrepresented-at-duke-can-deborah-rutter-change-that-20250918.html
Beyond numbers and community lines,Linda Garziera,2025-09-18T10:00:00Z,Sep,18,Opinion,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/beyond-numbers-and-community-lines-20250918.html
In defense of constructive dialogue on campus,"Bruce Jentleson, Abbas Benmamoun, Noah Pickus",2025-09-17T21:00:00Z,Sep,17,Opinion,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/in-defense-of-constructive-dialogue-on-campus-20250917.html
Duke Dining takes a massive risk with the humble spud,Alex Berkman,2025-09-16T10:00:00Z,Sep,16,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/duke-dining-takes-a-massive-risk-with-the-humble-spud-20250916.html
"A radical imagination comes from the people, not the University",Bindu Thota,2025-09-14T09:00:00Z,Sep,14,Opinion,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/a-radical-imagination-comes-from-the-people-not-the-university-20250914.html
"If you are born here, you do belong here — and we must say it full stop",Isaac Velez,2025-09-12T09:00:00Z,Sep,12,Opinion,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/if-you-are-born-here-you-do-belong-here-20250912.html
"Who the hell cares what Jerry Seinfeld thinks, anyway?",Leo Goldberg,2025-09-12T09:00:00Z,Sep,12,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/who-the-hell-cares-what-jerry-seinfeld-thinks-anyway-20250912.html
"A birthday card, deli and a pair of flip flops",Kareena Sukhnanan,2025-09-11T10:00:00Z,Sep,11,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/a-birthday-card-deli-and-a-pair-of-flip-flops-20250911.html
Luis Juárez shows how all politics is personal,"Leo Goldberg, Harrison Walley",2025-09-08T14:00:00Z,Sep,8,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/luis-jurez-shows-how-all-politics-is-personal-20250908.html
Keep a-inchin’ along,Luke A. Powery,2025-09-08T09:00:00Z,Sep,8,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/keep-a-inchin-along-20250908.html
Duke must stand with its immigrant service workers,"Leila Zak, Suhhyun Lee, Luis Pereira-Lazo",2025-09-04T10:00:00Z,Sep,4,Letters To The Editor,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/duke-must-stand-with-its-immigrant-service-workers-20250904.html
Great day!,Luke A. Powery,2025-08-25T16:00:00Z,Aug,25,Opinion,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/great-day-20250825.html
Community members share farewells for departing staff,Opinion,2025-08-16T00:30:00Z,Aug,16,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/community-members-share-farewells-for-departing-staff-20250816.html
The Chronicle is inviting submissions honoring Duke's departing staff and faculty ,Opinion,2025-08-11T05:43:00Z,Aug,11,Opinion,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/farewell-pieces-for-departing-staff-and-faculty-duke-20250811.html
"Roy Cooper for US Senate, obviously.",Leo Goldberg,2025-08-04T10:00:00Z,Aug,4,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/roy-cooper-for-us-senate-obviously-20250804.html
The costs of cost cutting and the Duke administration's misguided priorities,Orin Starn,2025-07-31T10:00:00Z,Jul,31,Letters To The Editor,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/costs-of-cost-cutting-20250731.html
Setting the record straight on being a 'reverse discrimination' activist,Mark Perry,2025-07-29T10:00:00Z,Jul,29,Letters To The Editor,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/setting-the-record-straight-on-being-a-reverse-discrimination-activist-20250729.html
"Duke, keep your commitment to the University Scholars Program",Students and Alumni of the University Scholars Program,2025-07-22T10:00:00Z,Jul,22,Opinion,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/duke-keep-your-commitment-to-the-university-scholars-program-20250722.html
My friend needs science. Science needs help.,Albert Xue,2025-07-05T13:15:00Z,Jul,5,Opinion,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/070425-xue-20250705.html
Duke: Forget institutional neutrality and join Harvard’s lawsuit against Trump,Leo Goldberg,2025-06-29T16:11:00Z,Jun,29,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/duke-forget-institutional-neutrality-20250629.html
Community members share remembrances for Bradley Simmons,Remembrances,2025-06-17T09:00:00Z,Jun,17,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/remembrances-bradley-simmons-685027e63a621-20250617.html
The problem with Duke’s Inclusive Excellence Working Group’s drafting principles,Sherman Criner,2025-06-16T09:00:00Z,Jun,16,Opinion,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/problem-with-dukes-inclusive-excellence-20250616.html
Chronicle Leadership: We stand with student journalists and Columbia Spectator,Chronicle Leadership,2025-06-09T16:00:00Z,Jun,9,Opinion,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/statement-in-support-of-student-press-columbia-spectator-20250609.html
The Chronicle is accepting remembrances for Bradley Simmons,Remembrances,2025-06-09T09:00:00Z,Jun,9,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/remembrances-bradley-simmons-20250609.html
Is there such a thing as institutional neutrality?,Kenneth Surin,2025-05-30T10:00:00Z,May,30,Letters To The Editor,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/such-a-thing-as-institutional-neutrality-20250530.html
Duke should commit to institutional neutrality,"Timur Kuran, Bruce Caldwell",2025-05-16T11:00:00Z,May,16,Opinion,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/duke-should-commit-to-institutional-neutrality-20250516.html
Community members share remembrances for Ian Hyun Kim,Remembrances,2025-05-06T10:00:00Z,May,6,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/remembrances-ian-hyun-kim-20250506.html
The Chronicle is accepting remembrances for Ian Hyun Kim,Remembrances,2025-05-03T10:00:00Z,May,3,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/remembrances-ian-kim-20250503.html
The end,Audrey Wang,2025-05-01T10:00:00Z,May,1,Opinion,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/farewell-column-wang-the-end-20250501.html
Stop banning reporters from covering campus protests,Robin Kirk,2025-04-26T10:00:00Z,Apr,26,Opinion,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/stop-banning-reporters-from-covering-campus-protests-20250426.html
On charging the grounder,Michael Austin,2025-04-23T10:00:00Z,Apr,23,Opinion,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/farewell-column-austin-charging-grounder-20250423.html
I’m still on that tightrope,Tyler Walley,2025-04-23T10:00:00Z,Apr,23,Opinion,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/farewell-column-walley-still-on-tightrope-20250423.html
For the love of the game,Ranjan Jindal,2025-04-23T10:00:00Z,Apr,23,Opinion,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/farewell-column-jindal-for-love-of-game-20250423.html
Walking on,Andrew Long,2025-04-23T10:00:00Z,Apr,23,Opinion,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/farewell-column-long-walking-on-20250423.html
This is not goodbye,Rachael Kaplan,2025-04-23T10:00:00Z,Apr,23,Opinion,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/farewell-column-kaplan-this-is-not-goodbye-20250423.html
A thousand words,Abigail Bromberger,2025-04-23T10:00:00Z,Apr,23,Opinion,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/farewell-column-bromberger-thousand-words-20250423.html
Farewell columns 2025,Staff Reports,2025-04-23T10:00:00Z,Apr,23,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/farewell-columns-2025-landing-page-20250423.html
Ten things I didn’t learn at Duke,Nathan Luzum,2025-04-23T10:00:00Z,Apr,23,Opinion,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/farewell-column-luzum-ten-things-didnt-learn-20250423.html
The end of a four-year identity crisis,Alyssa Ting,2025-04-23T10:00:00Z,Apr,23,Opinion,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/farewell-column-ting-four-year-identity-crisis-20250423.html
Journalism is in crisis. We should look to student newspapers for answers.,Zoe Kolenovsky,2025-04-23T10:00:00Z,Apr,23,Opinion,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/farewell-column-kolenovsky-journalism-in-crisis-20250423.html
Your voice is a currency — so use it thoughtfully,Alice Qin,2025-04-23T10:00:00Z,Apr,23,Opinion,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/farewell-column-qin-speech-currency-new-playbook-20250423.html
You can just do things,Jules Kourelakos,2025-04-23T10:00:00Z,Apr,23,Opinion,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/farewell-column-kourelakos-you-can-do-things-20250423.html
"Oh, the places you’ll go",Karen Xu,2025-04-23T10:00:00Z,Apr,23,Opinion,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/farewell-column-xu-oh-places-youll-go-20250423.html
A fortune cookie come true,Abby Spiller,2025-04-23T10:00:00Z,Apr,23,Opinion,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/farewell-column-spiller-fortune-cookie-come-true-20250423.html
"Workers at Duke deserve better wages, conditions and support: My story",Lee Brodie,2025-04-22T10:01:00Z,Apr,22,Opinion,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/workers-duke-better-conditions-story-20250422.html
"Before we leave campus, let’s talk about who can’t",Noor Nazir,2025-04-22T10:00:00Z,Apr,22,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/before-leave-campus-talk-who-cant-20250422.html
You can be an artist,Arya Krishnan,2025-04-22T10:00:00Z,Apr,22,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/you-can-be-an-artist-20250422.html
Duke braces for online surge as anonymous Chronicle satirist reveals identity,"Macey Davis, Monday Monday",2025-04-21T10:01:00Z,Apr,21,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/monday-monday-reveal-macey-davis-20250421.html
We are under attack,Thomas Nechyba,2025-04-21T10:00:00Z,Apr,21,Opinion,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/we-are-under-attack-20250421.html
Movement as a movement: Dance as a vessel for change,Aria Dwoskin,2025-04-21T09:55:00Z,Apr,21,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/dance-as-a-vessel-for-change-20250421.html
Protecting student journalism: Rumeysa Ozturk and the tilting risk-reward equation of free speech,Alice Qin,2025-04-18T10:00:00Z,Apr,18,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/ozturk-tilting-risk-reward-equation-free-speech-20250418.html
Is due process dead? The answer lies in El Salvador,Leo Goldberg,2025-04-17T10:00:00Z,Apr,17,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/due-process-el-salvador-20250417.html
Medicine beyond the bubble: What I learned working outside Duke Health,Kareena Sukhnanan,2025-04-17T10:00:00Z,Apr,17,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/working-outside-duke-health-20250417.html
"Someone, please teach me JOMO",Annie Ming Kowalik,2025-04-16T10:00:00Z,Apr,16,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/someone-teach-me-jomo-20250416.html
‘The White Lotus’ Season 4 to be filmed at Washington Duke Inn,Monday Monday,2025-04-16T10:00:00Z,Apr,16,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/white-lotus-film-washington-duke-20250416.html
Underwater: The rise and fall of the Marine Lab library,Aaron Siegle,2025-04-15T10:00:00Z,Apr,15,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/rise-and-fall-of-the-marine-lab-library-20250415.html
Not an easy road,Luke A. Powery,2025-04-14T17:00:00Z,Apr,14,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/not-an-easy-road-20250414.html
‘Cowardice as policy’: Duke’s obligation to resist,Adam Levin,2025-04-14T10:00:00Z,Apr,14,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/cowardice-as-policy-20250414.html
(Am I) on your Google Calendar,Anna Garziera,2025-04-13T10:00:00Z,Apr,13,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/am-i-on-google-calendar-20250413.html
The Blue Devils who stole my daughter's heart,Jimmy Soni,2025-04-11T10:00:00Z,Apr,11,Opinion,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/blue-devils-stole-my-daughters-heart-20250411.html
Every major is a climate major,Aaron Siegle,2025-04-10T10:00:00Z,Apr,10,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/every-major-climate-major-20250410.html
"Independence, community or both",Lisa Maria Stirbu,2025-04-09T10:00:00Z,Apr,9,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/independence-community-both-20250409.html
"When speech feels risky, speak anyway",Noor Nazir,2025-04-08T10:00:00Z,Apr,8,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/when-speech-feels-risky-speak-anyway-20250408.html
The Chronicle is accepting remembrances for Sayan Mukherjee,Remembrances,2025-04-07T18:20:00Z,Apr,7,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/remembrances-sayan-mukherjee-20250407.html
Every devil for themselves ,Krisha Patel,2025-04-07T10:00:00Z,Apr,7,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/every-devil-for-themselves-20250407.html
Learning to love Madrid (study abroad) without a ‘found family’,Valentina Garbelotto,2025-04-04T10:00:00Z,Apr,4,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/learning-to-love-madrid-20250404.html
Duke’s ‘White Lotus’ blunder: Sometimes less is more,Alex Berkman,2025-04-04T10:00:00Z,Apr,4,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/duke-white-lotus-less-is-more-20250404.html
It’s time to reaffiliate Greek life,Adam Levin,2025-04-03T10:00:00Z,Apr,3,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/time-to-reaffiliate-greek-life-20250403.html
The road less traveled: Choosing Duke over studying abroad,Kareena Sukhnanan,2025-04-03T10:00:00Z,Apr,3,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/road-less-traveled-20250403.html
Tell me more,Shruthi Narayanan,2025-04-02T10:00:00Z,Apr,2,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/tell-me-more-20250402.html
The dangerous path of permitless carry in North Carolina,Aria Dwoskin,2025-04-02T10:00:00Z,Apr,2,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/dangerous-path-permitless-carry-north-carolina-20250402.html
It’s more than just a fun thing: On the 3/29 Holi ‘darty’,Advikaa Anand,2025-04-01T10:00:00Z,Apr,1,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/more-than-fun-thing-holi-darty-20250401.html
Duke introduces mandatory P-Construction program for Class of 2029 amid Duke housing crisis,Monday Monday,2025-04-01T10:00:00Z,Apr,1,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/mandatory-p-construction-20250401.html
Why I write … and why maybe you should too,Samantha George,2025-03-31T10:00:00Z,Mar,31,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/why-i-write-20250331.html
Jazz as a way of life,Luke A. Powery,2025-03-31T10:00:00Z,Mar,31,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/jazz-as-a-way-of-life-20250331.html
Harvard and MIT are making more students tuition-free. What about Duke?,Shambhavi Sinha,2025-03-31T10:00:00Z,Mar,31,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/harvard-mit-tuition-free-duke-20250331.html
Engineering Student Government endorses Tara Singh for DSG president,"Kate Stutheit, Pranav Mukund",2025-03-30T20:15:00Z,Mar,30,Letters To The Editor,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/esg-endorses-tara-singh-20250330.html
Black Student Alliance endorses Tara Singh for DSG president,Joe Asamoah-Boadu,2025-03-30T20:15:00Z,Mar,30,Letters To The Editor,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/black-student-alliance-endorses-tara-singh-20250330.html
Small Town Rural Student Coalition endorses Tara Singh for DSG president,Olivia McConnell,2025-03-30T20:15:00Z,Mar,30,Letters To The Editor,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/small-town-rural-student-coalition-endorses-tara-singh-20250330.html
Degrees of fiction,Barbara Cardenas,2025-03-30T10:00:00Z,Mar,30,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/degrees-of-fiction-20250330.html
The final countdown,Anna Garziera,2025-03-30T10:00:00Z,Mar,30,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/final-countdown-20250330.html
The Backpack Project Durham endorses Tara Singh for DSG president,"Ashley Talwar, Grace Zhang",2025-03-29T10:00:00Z,Mar,29,Letters To The Editor,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/the-backpack-project-durham-endorse-tara-singh-20250329.html
Mi Gente Executive Council endorses Tara Singh for DSG president,Mariana Meza,2025-03-29T10:00:00Z,Mar,29,Letters To The Editor,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/mi-gente-endorse-tara-singh-20250329.html
It’s time for the left to reclaim free speech,Leo Goldberg,2025-03-28T10:00:00Z,Mar,28,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/time-for-left-reclaim-free-speech-20250328.html
The privilege to care about your CV,Annie Ming Kowalik,2025-03-27T10:00:00Z,Mar,27,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/privilege-care-about-cv-20250327.html
Where have all the backpacks gone?,Juliette Workman,2025-03-26T10:00:00Z,Mar,26,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/where-are-all-the-backpacks-20250326.html
Why Duke is failing at being an elite institution,Krisha Patel,2025-03-25T10:00:00Z,Mar,25,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/duke-failing-as-elite-institution-20250325.html
Beyond quick fixes: Rethinking crisis response in an interconnected world,Jakob Hagedorn,2025-03-24T10:00:00Z,Mar,24,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/rethinking-crisis-response-interconnected-world-20250324.html
Look around,Aaron Siegle,2025-03-24T10:00:00Z,Mar,24,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/look-around-20250324.html
"The Chronicle is accepting endorsements for DSG presidential, EVP candidates","Alice Qin, Abby Spiller",2025-03-21T12:00:00Z,Mar,21,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/chronicle-dsg-endorsements-20250321.html
Diversity isn't just for STEM,Sonia Green,2025-03-21T10:00:00Z,Mar,21,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/diversity-isnt-just-for-stem-20250321.html
Sustainability without sacrifice: Rethinking the path to a greener future,Aaron Siegle,2025-03-20T10:00:00Z,Mar,20,Campus Voices,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/sustainability-without-sacrifice-20250320.html
Research should not be understood as a financial loss,Francesco Ria,2025-03-19T10:00:00Z,Mar,19,Opinion,https://www2.stat.duke.edu/~cr173/data/dukechronicle-opinion/www.dukechronicle.com/article/research-not-financial-loss-20250319.html
